"date","state","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","hash","dateChecked","death","hospitalized","total","totalTestResults","posNeg","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"20200416","PR","1043","7315","1465","null","null","null","null","null","null","null","0f1b0b0eccfdaeeafea3a6c037a304b113bb219d","2020-04-16T20:00:00Z","56","null","9823","8358","8358","72","5","0","490","69","559"
"20200415","PR","974","6825","1410","null","null","null","null","null","null","null","43474cb427471e7c540223732e9e98269c0e2af1","2020-04-15T20:00:00Z","51","null","9209","7799","7799","72","6","0","541","51","592"
"20200414","PR","923","6284","1322","null","null","null","null","null","null","null","416f53bbee917cbd5e0bccfba96b673ad5d98cb5","2020-04-14T20:00:00Z","45","null","8529","7207","7207","72","0","0","324","20","344"
"20200413","PR","903","5960","1288","null","null","null","null","null","null","null","2e02e70aac0ed14a854e5bf23ecc53dc59ee0fce","2020-04-13T20:00:00Z","45","null","8151","6863","6863","72","1","0","141","6","147"
"20200412","PR","897","5819","1251","null","null","null","null","null","null","null","7ca4fd5cd8955f51e2f92c346c060be1f0a2967c","2020-04-12T20:00:00Z","44","null","7967","6716","6716","72","2","0","236","109","345"
"20200411","PR","788","5583","1332","null","null","null","null","null","null","null","49a43ec077cb42785a932e1bb08e765e31dc86a4","2020-04-11T20:00:00Z","42","null","7703","6371","6371","72","3","0","462","63","525"
"20200410","PR","725","5121","1392","null","null","null","null","null","null","null","aca519d0dea20a8d0eaee68b47274458c9e8e179","2020-04-10T20:00:00Z","39","null","7238","5846","5846","72","6","0","418","42","460"
"20200409","PR","683","4703","1304","null","null","null","null","null","null","null","3bb866405c927aaf77a70f81b17ece80ef99c327","2020-04-09T20:00:00Z","33","null","6690","5386","5386","72","9","0","437","63","500"
"20200408","PR","620","4266","1160","null","null","null","null","null","null","null","35f7ff30a6a6ed0b45cd9139f6ef39aa0edf4057","2020-04-08T20:00:00Z","24","null","6046","4886","4886","72","1","0","300","47","347"
"20200407","PR","573","3966","968","null","null","null","null","null","null","null","f55b55c315376b7c321d3701606e48d766c257c6","2020-04-07T20:00:00Z","23","null","5507","4539","4539","72","2","0","534","60","594"
"20200406","PR","513","3432","1000","null","null","null","null","null","null","null","4042cfb220e0d43e1dd965301a4b6d4e1a4f3f6c","2020-04-06T20:00:00Z","21","null","4945","3945","3945","72","1","0","359","38","397"
"20200405","PR","475","3073","1039","null","null","null","null","null","null","null","1573ba924ae71c4ae8290b22456399487d9a034b","2020-04-05T20:00:00Z","20","null","4587","3548","3548","72","2","0","468","23","491"
"20200404","PR","452","2605","1129","null","null","null","null","null","null","null","6df35c474e40400cf188b8e94850f9c371d1a88d","2020-04-04T20:00:00Z","18","null","4186","3057","3057","72","3","0","556","74","630"
"20200403","PR","378","2049","1055","null","null","null","null","null","null","null","31c1cb53249716895ec3490c18feb99b785a620a","2020-04-03T20:00:00Z","15","null","3482","2427","2427","72","3","0","445","62","507"
"20200402","PR","316","1604","1119","null","null","null","null","null","null","null","2b9a9af18f7c56e17ab89f48b071e4c9afd668a9","2020-04-02T20:00:00Z","12","null","3039","1920","1920","72","1","0","195","30","225"
"20200401","PR","286","1409","897","null","null","null","null","null","null","null","ae0129f382eb5f04d790633ebc4cfb9e7e00f89a","2020-04-01T20:00:00Z","11","null","2592","1695","1695","72","3","0","214","47","261"
"20200331","PR","239","1195","854","null","null","null","null","null","null","null","78117516d9037f5282375c81906d6c029a53bf68","2020-03-31T20:00:00Z","8","null","2288","1434","1434","72","2","0","264","65","329"
"20200330","PR","174","931","794","null","null","null","null","null","null","null","fd89d6c3b101b8f486f201f326442d416bfd4a2d","2020-03-30T20:00:00Z","6","null","1899","1105","1105","72","1","0","90","47","137"
"20200329","PR","127","841","817","null","null","null","null","null","null","null","e0fd73e5dd7429d9fdff54eda5df78010bbd83c6","2020-03-29T20:00:00Z","5","null","1785","968","968","72","2","0","102","27","129"
"20200328","PR","100","739","792","null","null","null","null","null","null","null","c1f61bf559aeba0b90d63533c15308234532ea16","2020-03-28T20:00:00Z","3","null","1631","839","839","72","0","0","220","21","241"
"20200327","PR","79","519","334","null","null","null","null","null","null","null","aefe7a30d1464bfc9d4213163b6f4e311db5a14b","2020-03-27T20:00:00Z","3","null","932","598","598","72","1","0","142","15","157"
"20200326","PR","64","377","335","null","null","null","null","null","null","null","f0017006486c2085b91f1f75468f643da3153af8","2020-03-26T20:00:00Z","2","null","776","441","441","72","0","0","60","13","73"
"20200325","PR","51","317","70","null","null","null","null","null","null","null","a29866b5ad6a6ac14b8d352af3b9af315c1f1c63","2020-03-25T20:00:00Z","2","null","438","368","368","72","0","0","49","12","61"
"20200324","PR","39","268","42","null","null","null","null","null","null","null","a4422b62864b4880eb9b5ca60650238cb712aae5","2020-03-24T20:00:00Z","2","null","349","307","307","72","0","0","79","8","87"
"20200323","PR","31","189","35","null","null","null","null","null","null","null","f11fb4d67e27feb9ecd7b591d6c96fd2073b15eb","2020-03-23T20:00:00Z","2","null","255","220","220","72","2","0","6","8","14"
"20200322","PR","23","183","69","","","","","","","","0687c7ff3672264c3265a35d79b30261de725d94","2020-03-22T20:00:00Z","","","275","206","206","72","0","0","40","2","42"
"20200321","PR","21","143","71","","","","","","","","da8e3b5ccde7f2d73b65a882224183f80e407fb8","2020-03-21T20:00:00Z","","","235","164","164","72","0","0","29","7","36"
"20200320","PR","14","114","52","","","","","","","","045b02a40ddf42ca4604f3d36ace4f27f9fa9dd8","2020-03-20T20:00:00Z","","","180","128","128","72","0","0","58","9","67"
"20200319","PR","5","56","29","","","","","","","","aa15323ebfa43315d7dbf51bcabc710f6b5beeeb","2020-03-19T20:00:00Z","","","90","61","61","72","0","0","25","0","25"
"20200318","PR","5","31","21","","","","","","","","2d5405cfdbd83c8717f23b7ebc2f454316248e7c","2020-03-18T20:00:00Z","","","57","36","36","72","0","0","18","0","18"
"20200317","PR","5","13","4","","","","","","","","62bea2a6c0d3c6ef1d1578056f4e0bbc64ebf66a","2020-03-17T20:00:00Z","","","22","18","18","72","0","0","4","0","4"
"20200316","PR","5","9","","","","","","","","","be5aca3aa4f7fa2a722127a99ec083fd3b982671","2020-03-16T20:00:00Z","","","14","14","14","72","null","null","null","null","null"
